TIME,Ls [deg],R [km],XMSO [km],YMSO [km],ZMSO [km],GEO_lat [deg],GEO_lon [deg],Sol distance/mean distance,n_i [cm^-3],n_e [cm^-3],T_p [eV],T_e [eV],Vdown_x [km/s],Vdown_y [km/s],Vdown_z [km/s],Vupfine_x [km/s],Vupfine_y [km/s],Vupfine_z [km/s],|Vupfine| [km/s],Vupcoarse_x [km/s],Vupcoarse_y [km/s],Vupcoarse_z [km/s],Bup_x [nT],Bup_y [nT],Bup_z [nT],|Bup| [nT],Bdown_x [nT],Bdown_y [nT],Bdown_z [nT],Bu_fit [nT],Bd_fit [nT],Bu_measure [nT],Bd_measure [nT],Bmax [nT],Bu_stddev [nT],Bd_stddev [nT],N_AVG_x,N_AVG_y,N_AVG_z,nconic_rho,n_conic_phi,n_conic_x,$\hat{n}_{conic}\cdot\hat{n}_{AVG}$,|POS_{shock}-POS_{conic}| [km],V_A [km/s],C_S [km/s],thetaBN [deg],Mfms,Malfven_local,Malfven_global,beta,beta_p,beta_e,Mcrit,Wci [rad/s],tau_ci [s],Pdyn [nPa],rci [km],c/Wpe [km],c/Wpi [km],SZA [º]
2018-07-06/03:16:11,205.998,5000.094567,2111.01,1068.34,-4404.91,-74.2639,31.9551,0.928791,10.2947,12.1377,7.0048366,12.356235,-151.62246,36.185176,-68.953375,-325.35051,10.529007,-0.61385683,325.5214143,-298.29215,13.985146,-6.9528388,-3.0491302,0.57936264,3.4628105,4.65015189,8.0179752,0.94908352,9.5948598,4.85469,12.8152,4.77567,13.2468,27.8683,0.232383,2.888,0.48460309,0.0020158014,-0.87473183,0.618835,0.0,0.785521,0.907023,1296.63,32.46565,46.073678,14.3294,3.3206233,4.839197059,10.0266409,3.519037,1.2731878,2.2458493,1.0155,0.4455235344,14.10292571,0.9108760816,730.6492007,1.524145126,71.06045752,65.0268175
2018-07-14/20:13:39,211.28,6019.10536,3093.17,2265.28,-4640.09,-70.8187,241.701,0.923863,4.67316,6.19473,11.357653,18.409065,-202.72541,29.993634,-132.55032,-370.49285,9.7742733,-8.6387608,370.7224251,-347.80476,13.630805,-25.619819,2.2309897,2.012324,-1.2203661,3.24284695,-1.0357984,8.0187229,-0.63793007,3.59519,8.52131,3.37138,8.65487,15.0377,0.24466,2.04943,0.71113346,0.43995156,-0.54839022,0.603323,0.0,0.797497,0.980892,370.751,34.017157,56.07475,14.391,4.4618799,7.479526981,10.89810137,4.9280779,1.8803348,3.047743,1.01,0.3106919233,20.2232013,0.5362840014,1193.215521,2.133454229,105.4701398,59.07657757
2018-07-15/05:03:29,211.504,5839.541087,2898.76,1873.81,-4710.23,-72.2616,104.328,0.923665,3.14344,3.84587,11.453537,15.933654,-234.17414,22.654308,-132.69267,-375.00878,14.903883,-7.5361981,375.3804804,-334.5225,39.07154,-23.266284,2.756836,1.2085489,-0.60997068,3.071286279,0.13934463,7.7097436,-0.28075496,3.23905,8.13175,3.13559,8.15627,17.5959,0.304608,1.99175,0.7781597,0.34004053,-0.52805295,0.606403,0.0,0.795157,0.992514,650.138,38.575585,55.469911,20.4187,4.8690907,7.330265603,9.73103792,3.5258603,1.4745423,2.051318,1.0295,0.2942549728,21.35286023,0.3698580046,1275.698,2.707679277,128.5974211,60.23775622
2018-07-18/13:06:53,213.543,6162.272529,3260.54,2099.56,-4788.98,-70.2844,21.8535,0.921927,4.4022,5.33713,6.7777805,10.842524,-152.78948,55.894238,-71.038931,-307.66498,22.488395,5.5849307,308.5363176,-285.80909,47.305844,-7.2139144,2.94598,-1.9745404,-4.0747012,5.401925381,-1.5257337,-10.437387,-8.3587094,5.52284,13.8812,5.43396,13.5429,19.8705,0.147477,0.990808,0.77550776,-0.09372254,-0.62434269,0.598872,0.0,0.800845,0.940962,126.986,56.490809,44.037134,21.8545,4.023728,4.322670607,5.461708251,1.0577924,0.40688768,0.65090474,1.2485,0.5175497371,12.14025408,0.3499200508,596.1481486,2.298479478,108.6675717,58.05444023
2018-07-21/03:10:17,215.128,5577.467176,2414.32,770.844,-4968.4,-74.2668,159.329,0.920635,4.75233,5.82349,4.8468752,10.398441,-159.68964,9.8400907,-71.222736,-340.31312,18.223211,33.828135,342.4754703,-318.90114,1.0423158,20.75899,1.3598382,-1.0488119,-0.99447192,1.984474926,1.1270062,-5.9048011,-0.30972403,2.26626,6.8526,1.98722,6.86774,20.3848,0.0535042,3.05277,0.85859387,-0.11172008,-0.50033508,0.617012,0.0,0.786954,0.970168,882.993,19.883299,39.838279,26.0883,7.5880909,15.6489152,17.22427804,7.3875809,2.3487005,5.0388804,1.018,0.1901293342,33.04690112,0.4654274647,1801.276335,2.20040617,104.5879262,64.35014375
2018-07-31/02:46:00,221.292,5853.652018,2264.05,338.04,-5387.49,-74.0427,224.555,0.916129,2.96413,2.97243,5.9738622,9.5753121,-136.88155,-13.040386,-68.923442,-320.1664,41.85928,-15.989251,323.2868373,-294.84319,79.995214,-16.027768,2.3823363,0.61072055,-1.9537938,3.140989661,-3.5658396,0.43655164,-5.6697599,3.26895,6.92638,3.19798,6.92638,11.5602,0.106273,1.05332,0.5302396,-0.033885566,-0.84717043,0.640903,0.0,0.767622,0.947552,938.862,40.515712,43.230687,22.6987,3.1908983,3.890779671,7.979295471,1.8146924,0.69718957,1.1175028,1.0995,0.3009331412,20.87900749,0.2586781626,1074.281271,3.079914803,132.4299526,67.24598157
2018-08-07/01:30:07,225.616,7491.650676,4013.65,3518.78,5256.77,20.9232,58.2424,0.913467,5.95877,6.39717,9.411274,10.121503,-178.90012,50.151309,103.40708,-343.20156,19.256476,13.392377,344.0021489,-312.50416,40.529167,36.997276,-1.0572919,-0.2247433,-4.2954174,4.429332495,7.4943186,-12.116115,-5.2615656,3.6047,13.5977,4.47005,15.317,21.7035,0.238765,1.27912,0.55814035,0.33988363,0.7569402,0.622245,0.0,0.782823,0.945975,1001.6,39.942069,49.053655,27.8063,3.1923521,4.378152001,8.612527029,2.3455542,1.1301339,1.2154203,1.0895,0.4243671852,14.80601123,0.5887967566,810.6238203,2.099426018,93.4020774,57.60522788
2018-08-22/09:11:09,235.232,6114.822293,3362.51,1305.56,4937.62,28.849,75.2627,0.909068,1.14605,1.28264,18.432919,20.341173,-269.31623,71.140584,175.17501,-540.16566,38.822194,-17.725543,541.8489622,-484.229,76.038055,-30.239936,2.4676154,-0.11232116,1.4546118,2.866642164,3.0704645,-6.7783758,-0.1700512,2.94922,7.70002,2.89666,7.78524,14.7166,0.0929587,2.10887,0.84510284,-0.053219927,0.53194815,0.58151,0.0,0.813539,0.978669,58.9169,59.019189,68.447559,1.85212,6.8270078,7.929467101,9.180894746,2.1325429,1.0137952,1.1187477,1.0005,0.274648351,22.87720019,0.2809613188,1972.882634,4.688588644,212.9771761,56.64019247
2018-08-30/07:24:00,240.24,5376.354351,2531.6,488.03,4717.84,32.4723,170.31,0.907623,2.33591,3.02122,11.081128,12.9432,-243.04091,-21.101744,137.9066,-440.91022,24.015498,-9.7497064,441.6713971,-347.29501,13.587879,65.286841,2.9966842,0.49546793,0.23625526,3.046542501,4.0157393,3.3277768,-1.7168478,3.05926,6.08908,3.06242,6.07063,15.5964,0.170789,1.82413,0.8959053,-0.016205111,0.44394941,0.569325,0.0,0.822113,0.986996,514.361,43.705249,52.234476,24.0717,6.9203919,9.146071977,10.10568312,2.409499,1.111372,1.2981269,1.0685,0.2918843115,21.52628648,0.3804881463,1513.172787,3.054944647,149.1786917,61.90877985
2018-08-30/20:37:05,240.587,5789.26011,3518.2,474.743,4573.01,26.6542,335.006,0.907545,1.85976,2.41578,10.122414,10.596505,-146.40629,26.385801,77.412025,-409.89861,32.453139,0.24409524,411.181391,-351.24357,54.228402,2.8493833,2.2380881,0.59980707,0.99098591,2.520091256,0.51096239,6.3254593,1.1765478,2.24753,7.07135,2.52148,6.96118,17.6926,0.0351773,1.62332,0.90376067,0.26163767,0.33876598,0.549085,0.0,0.835766,0.955184,254.019,40.329638,48.970513,3.5187,7.361203,8.972968901,10.19551405,2.4404002,1.1922794,1.2481208,1.002,0.2414458688,26.02316344,0.262548947,1702.996175,3.416377322,167.1884978,52.57578649
