TIME,Ls [deg],R [km],XMSO [km],YMSO [km],ZMSO [km],GEO_lat [deg],GEO_lon [deg],Sol distance/mean distance,n_i [cm^-3],n_e [cm^-3],T_p [eV],T_e [eV],Vdown_x [km/s],Vdown_y [km/s],Vdown_z [km/s],Vupfine_x [km/s],Vupfine_y [km/s],Vupfine_z [km/s],|Vupfine| [km/s],Vupcoarse_x [km/s],Vupcoarse_y [km/s],Vupcoarse_z [km/s],Bup_x [nT],Bup_y [nT],Bup_z [nT],|Bup| [nT],Bdown_x [nT],Bdown_y [nT],Bdown_z [nT],Bu_fit [nT],Bd_fit [nT],Bu_measure [nT],Bd_measure [nT],Bmax [nT],Bu_stddev [nT],Bd_stddev [nT],N_AVG_x,N_AVG_y,N_AVG_z,nconic_rho,n_conic_phi,n_conic_x,$\hat{n}_{conic}\cdot\hat{n}_{AVG}$,|POS_{shock}-POS_{conic}| [km],V_A [km/s],C_S [km/s],thetaBN [deg],Mfms,Malfven_local,Malfven_global,beta,beta_p,beta_e,Mcrit,Wci [rad/s],tau_ci [s],Pdyn [nPa],rci [km],c/Wpe [km],c/Wpi [km],SZA [º]
2015-09-10/22:07:57,39.7871,5338.824739,5156.73,1203.59,680.115,26.0594,304.223,1.07839,6.46335,10.3108,31.718369,23.605477,-128.44519,27.441767,9.3079469,-399.01284,35.332929,-7.9012898,400.6520844,-378.24402,38.88483,-18.844314,3.9764631,-1.8732926,1.4736431,4.636065998,3.5527188,-14.771663,-0.94383608,4.91214,17.2277,4.67142,16.9417,32.3732,0.155854,3.53473,0.99678398,-0.045154856,0.066202236,0.204058,0.0,0.978959,0.974434,178.651,40.078997,80.517234,26.5872,4.8210624,9.976500737,9.996559655,6.5981369,3.7828559,2.815281,1.0215,0.4441739878,14.14577503,0.8663212409,902.0160914,1.653668065,89.68214971,15.00740789
2015-09-12/01:32:59,40.3006,5022.807119,4910.67,1052.59,77.2386,21.1458,264.365,1.07888,1.56418,1.99337,14.363878,27.009645,-61.36956,53.420653,52.64247,-425.51774,5.1236012,11.547192,425.7052219,-393.69684,-20.77567,22.737887,2.5707151,-1.3891472,0.13982535,2.925381547,2.9387611,-11.321118,-2.1596053,3.02051,10.7118,2.97029,12.4078,19.4242,0.187268,2.37188,0.99565953,0.015655381,0.091744313,0.163864,0.0,0.986483,0.98586,432.233,51.80263,65.761428,29.3199,5.7696756,8.15655869,8.21783029,2.9536672,1.0254412,1.928226,1.07,0.2802760764,22.41784382,0.236696131,1518.878198,3.760976001,182.3020208,12.12970936
2015-09-16/01:23:17,42.0911,4635.082212,4562.78,642.738,-501.91,9.92642,303.755,1.08054,5.06653,8.15113,20.291294,27.480013,-98.909338,-38.061535,-15.422737,-420.42115,7.7423592,2.3700008,420.4991134,-324.89873,38.069649,9.1028428,-3.2492786,-0.78525384,-1.823339,3.80775526,-2.1014718,-14.118929,-11.792013,4.11222,18.7566,3.90304,18.8659,30.7846,0.28666,2.90109,0.99502243,0.011664609,0.098966157,0.120627,0.0,0.992698,0.981518,844.573,37.821937,69.835596,25.9888,5.7802278,11.05188274,11.11786299,6.3976761,2.7174707,3.6802054,1.0215,0.3648148752,17.22294164,0.7480442052,1152.636973,1.859882942,101.2930242,10.13329921
2015-09-20/10:02:02,44.0416,5129.079578,5021.71,327.678,991.218,35.3691,202.394,1.08224,2.58951,2.67669,12.377194,13.092609,-100.12262,36.305248,34.292877,-404.50635,18.134503,13.919646,405.1518282,-363.09866,72.294982,57.384574,2.2810753,1.4585411,-1.1888853,2.957041583,-0.63292203,11.979739,0.6862668,2.9315,12.4238,2.95908,12.4189,22.4671,0.0785423,2.35294,0.96374664,0.26681842,0.00058966964,0.271893,0.0,0.962327,0.950363,49.8719,40.109216,56.481673,28.9778,6.28512,9.598662019,10.10121535,3.0330523,1.4739288,1.5591235,1.066,0.2833093732,22.17782362,0.3549275196,1430.068563,3.245603648,141.68571,11.74408181
2015-10-06/08:30:49,51.1159,4533.070473,4370.86,-949.579,736.621,29.9087,2.48122,1.08746,4.72583,7.68981,16.111624,20.887458,-90.337875,-31.672061,32.844171,-382.19963,-45.265599,43.992114,387.3768678,-330.92908,-34.436475,131.55005,3.3458878,1.9017279,0.0066539199,3.848581356,1.9186112,13.138655,4.3449305,3.81091,13.0198,3.95402,14.831,30.5325,0.502166,5.5982,0.99113291,0.13194538,-0.015683599,0.264815,0.0,0.964299,0.925595,788.416,39.673065,61.667408,22.0517,5.9962769,9.716243825,9.764228396,4.5034157,1.9610578,2.5423579,1.0245,0.3687263574,17.04023914,0.5921502773,1050.580898,1.91485863,104.8807537,15.37391516
2015-12-30/05:04:39,88.2814,5733.258911,1420.79,3109.32,4602.58,57.7433,267.964,1.08784,6.31257,10.2224,3.7639015,10.660903,-209.83402,95.813126,107.07071,-306.41169,10.878984,7.9945004,306.7089632,-258.17349,50.823482,40.09753,1.986614,0.18448422,1.5067701,2.500205141,2.4587406,-7.2318625,2.7639248,2.80433,8.10543,2.53787,8.48409,14.3871,0.203674,1.63986,0.70966373,0.16142786,0.68579766,0.692692,0.0,0.721234,0.968068,1565.08,22.032455,35.097863,8.46805,5.9483975,9.540946847,13.92078019,5.6928113,1.48544,4.2073713,1.003,0.2395406123,26.23014631,0.4958446347,1280.404856,1.660802866,90.7468886,75.65172207
2015-12-30/09:37:18,88.3648,5592.402552,1366.96,2814.07,4635.45,60.6541,204.881,1.08779,8.09022,11.7754,3.9434886,10.403423,-209.82802,95.925618,121.55942,-299.05286,30.790552,10.346333,300.8117647,-273.98681,66.339182,14.663263,1.3348518,-0.55142981,1.1282855,1.832739025,4.7088731,-5.7222396,-0.84143519,2.13368,7.70515,1.84298,7.8483,16.1855,0.0845493,2.49645,0.70410106,0.19987267,0.6813902,0.692692,0.0,0.721234,0.983134,1706.81,14.133045,36.25748,29.2884,5.3352478,13.96439026,21.28428549,13.760352,3.7822629,9.9780888,1.011,0.1755917629,35.78291604,0.6112747293,1713.131412,1.547414588,80.15944123,75.85175343
2016-01-03/03:46:47,90.0209,6131.524116,1898.03,4135.64,4109.69,49.6232,313.353,1.08673,6.59277,5.32466,24.358232,10.244269,-342.1488,117.4173,97.786671,-515.83575,17.162048,-40.856909,517.7357858,-466.30318,21.767594,-62.349824,3.0953152,0.4574236,5.0095688,5.906436498,-6.6403029,-5.4619726,11.715969,5.59707,15.3497,5.9727,14.995,28.5588,0.258821,2.82932,0.47944274,0.18368724,0.85813382,0.669048,0.0,0.743219,0.848198,935.942,50.737984,71.45059,6.6306,3.882344,5.503213362,10.20410637,2.5750386,1.8126837,0.76235493,1.0055,0.5658861315,11.10326788,1.475607212,914.9115996,2.301169347,88.79752979,71.96772229
2016-01-06/08:30:27,91.4328,6074.127756,2136.18,4135.78,3902.19,48.5471,268.672,1.08576,12.7895,19.3488,24.978939,13.083469,-360.52002,125.40445,150.72091,-597.53597,27.991283,7.2394014,598.2350343,-530.87366,69.129807,40.163706,1.9874618,1.3748521,4.0963218,4.756056664,-12.055101,7.4666715,9.3014521,5.32378,15.6082,4.84208,17.7846,31.0829,0.511759,4.08776,0.47572609,0.45175109,0.75472223,0.655298,0.0,0.755371,0.914074,851.521,29.532612,69.408978,11.645,3.8176161,9.012227597,20.25676003,8.3605571,5.4867219,2.8738352,1.0035,0.4556700996,13.78889094,3.821938792,1312.868751,1.207167413,63.75409186,69.40958425
2015-09-01/09:02:52,35.4785,5257.228583,4822.37,2070.94,-307.258,19.0201,61.9958,1.07399,3.80258,4.00694,12.042987,8.6882304,-156.41932,10.976783,-38.400468,-388.44934,30.768987,11.057653,389.8228982,-370.13399,1.8452398,24.878834,-0.31777891,2.8936669,-2.3375596,3.733426904,-3.9548789,9.3088798,-10.643068,4.11611,15.4913,3.73815,15.044,27.1445,0.042407,2.34466,0.93066535,0.060477297,-0.36083862,0.294721,0.0,0.955583,0.922567,233.85,41.813266,52.0884,78.8379,5.4689145,8.696894044,9.322947847,2.2716389,1.3196195,0.95201947,1.2895,0.3576935956,17.56583116,0.4825024548,1089.823533,2.65269978,116.921847,23.46784913
