TIME,Ls [deg],R [km],XMSO [km],YMSO [km],ZMSO [km],GEO_lat [deg],GEO_lon [deg],Sol distance/mean distance,n_i [cm^-3],n_e [cm^-3],T_p [eV],T_e [eV],Vdown_x [km/s],Vdown_y [km/s],Vdown_z [km/s],Vupfine_x [km/s],Vupfine_y [km/s],Vupfine_z [km/s],|Vupfine| [km/s],Vupcoarse_x [km/s],Vupcoarse_y [km/s],Vupcoarse_z [km/s],Bup_x [nT],Bup_y [nT],Bup_z [nT],|Bup| [nT],Bdown_x [nT],Bdown_y [nT],Bdown_z [nT],Bu_fit [nT],Bd_fit [nT],Bu_measure [nT],Bd_measure [nT],Bmax [nT],Bu_stddev [nT],Bd_stddev [nT],N_AVG_x,N_AVG_y,N_AVG_z,nconic_rho,n_conic_phi,n_conic_x,$\hat{n}_{conic}\cdot\hat{n}_{AVG}$,|POS_{shock}-POS_{conic}| [km],V_A [km/s],C_S [km/s],thetaBN [deg],Mfms,Malfven_local,Malfven_global,beta,beta_p,beta_e,Mcrit,Wci [rad/s],tau_ci [s],Pdyn [nPa],rci [km],c/Wpe [km],c/Wpi [km],SZA [º],cone angle [º]
2015-09-15/11:33:42,"41,8334","5284,906564","5142,28","776,304","940,503","28,6121","140,325","1,0803","5,81334","5,82128","16,191738","9,9672761","-142,92908","44,837549","-5,6401689","-430,72175","16,396227","22,811246","431,636902","-398,82598","41,992583","48,575865","0,034736516","5,2405185","-2,7556658","5,920974141","-1,7831461","19,244071","-9,5000742","6,26396","24,0386","5,92377","22,2289","38,7596","0,0475162","4,15962","0,99219844","0,084782141","-0,09140151","0,203828",0,"0,979007","0,968002","157,262","53,589697","59,493182","82,9117","5,3561212","7,987660828","8,054475508","1,7450242","1,0801238","0,66490035","1,391","0,5672789596","11,07600626","0,9043766335","760,8900254","2,200823813","94,56316186","13,34138029","89,81834553"
2015-09-15/20:46:55,"42,0054","4810,972909","4760,28","688,259","-107,211","18,3181","8,94635","1,08046","6,00619","6,34133","18,002192","13,457837","-127,13479","21,737476","-18,249419","-406,46589","-21,801843","4,3603895","407,073523","-377,46127","-42,509","4,9762711","0,12898734","3,3570803","1,7632835","3,794179038","1,8721659","14,003212","10,709785","3,80478","16,2949","3,81834","18,5291","33,6015","0,106963","5,89416","0,98171308","-0,00077025582","-0,19036501","0,120763",0,"0,992681","0,977975","624,174","33,983771","64,001268","86,8026","5,5193186","11,76579707","11,97846828","5,2186556","2,9862413","2,2324143","1,1215","0,3635141594","17,28456828","0,831057845","1119,82852","2,108649241","93,03263326","8,324858555","94,37907544"
2015-09-16/05:49:34,"42,1743","5116,751457","5030,94","693,168","624,745","28,7246","233,137","1,08061","5,17877","6,01947","19,795689","16,312164","-153,4687","44,90188","-5,7561682","-466,16043","41,104938","-26,505582","468,7192212","-438,23536","71,267499","-42,533845","-0,21356022","6,9832491","0,91025206","7,045561353","-0,92065435","25,815425","7,2633276","7,72621","27,2335","7,04667","27,4859","44,6312","0,0285655","4,27607","0,99764893","0,014891913","0,066894307","0,17308",0,"0,984908","0,992258","282,387","67,540881","67,126158","89,6082","4,8960979","6,902862217","6,939785419","1,5163899","0,83134222","0,68504767","1,458","0,6750238422","9,308093899","0,9500328572","694,3743197","2,164289706","100,1893445","10,50804525","83,69847983"
2015-09-16/14:54:36,"42,344","5217,012867","5097,95","667,898","884,331","30,6809","99,0656","1,08076","3,15096","3,25951","26,401333","19,051203","-154,64637","105,40342","39,828702","-494,47335","44,636942","-27,673556","497,2546391","-458,82303","74,947216","-36,607457","-0,77747528","5,2468902","-0,27194027","5,311146401","-0,59213199","15,944374","-10,817294","5,68902","21,2016","5,34534","20,2205","31,8969","0,125529","3,52846","0,96610905","0,17253413","0,19200332","0,215093",0,"0,976593","0,998818","135,365","65,682631","77,335271","88,9004","4,6848962","7,236725902","7,57056518","2,0183649","1,1723773","0,84598755","1,338","0,5088523498","12,34775728","0,6505595442","977,2081024","2,941158045","128,4438758","12,26434277","76,28473016"
2015-09-19/15:49:01,"43,7016","5371,8515","5146,02","408,561","1486,05","36,2788","109,14","1,08195","3,14578","3,0157","15,172311","10,474146","-103,76842","10,900338","32,20172","-401,73026","12,855287","-16,59917","402,2785013","-356,90581","28,513197","32,717786","1,0697862","3,895182","0,65738087","4,092558483","0,7974756","13,911977","1,9083072","4,73745","16,2449","4,09649","14,4928","25,3608","0,169367","2,16577","0,9865686","0,0064368073","0,16322057","0,255466",0,"0,966818","0,994474","78,7077","50,378405","58,905004","73,1282","5,2021201","7,919286829","7,985137706","1,9358923","1,1452638","0,79062844","1,333","0,3921014115","16,02438839","0,4250778444","1025,955249","3,057739286","128,5495834","16,67251916","103,7245638"
2015-09-20/01:02:23,"43,8732","4848,662654","4827,38","336,463","304,507","22,0821","339,116","1,0821","4,20871","4,00502","11,588853","8,8220353","-90,526871","35,11038","12,4729","-400,7961","21,708296","-1,1591419","401,3852358","-373,09183","53,040497","-3,0018206","-0,13709072","0,40871938","2,0743892","2,118710917","1,9991655","-1,753797","14,173237","2,26894","15,2319","2,12636","14,8454","29,8247","0,0683191","3,80758","0,98503339","0,049714223","-0,16503851","0,107958",0,"0,994155","0,9713","546,417","22,607801","52,334956","77,5415","6,9243783","17,40669192","17,75428029","7,6504668","4,3437666","3,3067002","1,078","0,2029902675","30,95313576","0,5661848766","1977,361973","2,653335554","111,1374291","5,370299644","85,85874761"
2015-09-23/01:52:41,"45,2264","5122,082036","4980,82","100,993","1190,36","32,6448","348,716","1,08322","7,30177","7,54305","13,610561","9,7449573","-79,271168","10,881676","-18,971895","-363,94393","-5,5940031","-20,471967","364,5621737","-339,28306","-9,2710814","-42,422804","-0,69992103","4,6794201","-2,1754782","5,207645084","0,98835825","16,875827","-13,917164","5,42088","21,6894","5,2174","22,3388","37,0156","0,0477222","4,86937","0,99476441","-0,05443191","0,086492385","0,210115",0,"0,977677","0,989699","332,877","42,114951","55,474095","77,3649","5,2485989","8,631249405","8,656359916","2,5226649","1,4700973","1,0525676","1,256","0,4989360559","12,59316747","0,8103223815","730,6791509","1,933396944","84,37635739","13,48746405","81,72958615"
2015-09-25/22:15:57,"46,4957","4424,19127","4410,48","-173,341","-301,807","22,6268","70,3786","1,08422","2,38272","3,3772","21,191935","13,133707","-12,629194","15,368872","4,532038","-448,1411","41,424948","19,916172","450,4920929","-383,9852","7,1447932","140,89987","0,049515597","2,5457036","1,006095","2,737751954","-0,06041296","0,9576556","-2,5499084","3,12282","6,4557","2,75049","6,10293","20,7115","0,15797","2,71856","0,99879343","-0,048211377","-0,009345868","0,120827",0,"0,992674","0,995356","685,094","38,865933","65,361091","88,2694","5,9153318","11,5726972","11,59092444","4,3533451","2,6876644","1,6656807","1,1475","0,2622995884","23,95423243","0,4037697982","1717,471596","2,889456301","147,7060696","4,512027713","85,19532114"
2015-09-27/19:37:44,"47,3342","5535,926935","4918,04","-246,878","2529,51","41,5188","118,134","1,08486","1,81022","2,19044","9,8080893","12,555609","-94,514986","-3,434445","62,980559","-360,82298","1,955552","-12,410613","361,0416463","-342,34176","12,495637","65,60461","0,68557063","1,9396588","-0,39885705","2,095559662","0,33631904","10,739789","0,81322118","2,00175","11,0082","2,1226","11,3328","19,5214","0,223666","2,65142","0,96237073","0,00076598678","0,27173883","0,362941",0,"0,931812","0,99488","68,666","34,41112","50,601342","74,7025","5,7739485","10,18904419","10,49200509","3,618167","1,5868264","2,0313407","1,1695","0,2007721832","31,2950988","0,1970300357","1798,265281","3,587805079","169,4607669","27,32887182","108,3849457"
2015-09-29/08:07:35,"48,0092","5083,951813","4807,9","-401,396","1602,98","35,2286","306,777","1,08536","2,6876","3,15842","7,6820259","9,0345063","-66,783692","-2,8660515","23,002376","-300,53649","16,746951","-20,516057","301,7010951","-269,72687","19,713067","39,337692","-0,025515134","1,9719613","0,88166214","2,160233904","1,0288948","9,3330274","1,6468713","2,29869","11,4314","2,17981","10,5101","23,1208","0,153969","3,33199","0,97386995","-0,15659716","0,16448298","0,274757",0,"0,961514","0,99068","409,519","29,002274","44,310054","84,9905","5,6445156","10,29852086","10,40267033","3,8073672","1,7496627","2,0577044","1,169","0,2069685177","30,35816933","0,2042701374","1457,714914","2,987855434","139,0761087","18,96781103","88,01242349"
2015-09-29/12:39:10,"48,0932","5110,533887","4807,83","-412,441","1682,92","39,0836","238,896","1,08542","3,00037","3,15952","5,3267274","7,2615671","-71,440572","-2,0941541","7,6858868","-313,05824","12,365573","-13,22557","313,5813845","-278,23059","34,43283","23,620003","0,59932059","2,0984086","0,34250276","2,209029643","1,1459149","9,126338","-0,64478533","2,09379","10,5736","2,22153","9,67851","21,152","0,109838","1,96255","0,99414127","-0,065209126","0,086202677","0,307586",0,"0,95152","0,976473","321,79","27,974445","38,876362","77,2242","6,5753197","11,19487961","11,20956589","3,0816733","1,3040078","1,7776656","1,2055","0,2116435586","29,68758109","0,2463552583","1481,648611","2,987335272","131,6277446","19,81895782","103,8825768"
2015-09-30/02:23:30,"48,3464","4860,908678","4705,7","-474,43","1122,38","26,8711","42,3786","1,0856","5,67723","4,81846","10,43817","6,257518","-74,367214","-13,803055","51,661206","-317,29409","-9,7183339","10,046017","317,6018073","-302,79763","-25,0957","48,399623","0,38159573","2,9284747","-0,39338524","2,979317257","0,95476931","12,947018","1,6986237","2,98374","13,1316","2,98374","13,8978","26,9125","0,146992","3,9682","0,98219035","-0,090567234","0,16461985","0,195458",0,"0,980712","0,999775","671,207","27,314254","48,716912","89,1381","5,5345843","11,31677464","11,62769473","4,2871464","2,6803306","1,6068158","1,15","0,2854435695","22,0120051","0,4781772332","1112,660579","2,419025197","95,69001055","14,51774984","99,33525046"
2015-09-30/11:22:06,"48,5127","5331,26702","4799,36","-460,502","2275,19","42,848","264,177","1,08572","4,36189","3,24491","7,9586096","7,8155913","-89,367654","-7,0419232","78,334877","-329,00774","1,6820403","16,319153","329,4165099","-314,22674","25,223748","57,28601","0,54147847","3,8134791","2,4643259","4,572605813","-0,14334167","14,679389","7,9029071","4,22031","18,4421","4,59885","17,1602","32,3415","0,333416","2,79135","0,96947007","-0,058132457","0,23821924","0,359931",0,"0,932979","0,992684","206,039","48,029472","47,72395","78,7725","4,6773068","6,562083415","6,858632756","1,3100093","0,66094329","0,64906598","1,5195","0,4380939701","14,34209493","0,3952318251","751,9311663","2,947767275","109,1685375","25,81184447","95,00910616"
2015-10-02/08:55:04,"49,3539","4957,377193","4670,61","-635,222","1535,41","38,4588","319,267","1,0863","17,4792","14,9369","10,0405","5,6362656","-87,182175","-21,968249","40,318173","-337,05147","5,0369584","14,907874","337,4185962","-314,85197","11,263066","36,392759","-0,30663043","3,4667568","-0,83709789","3,579547151","2,899773","13,741782","-12,09288","3,89385","21,3461","3,5881","19,6346","44,5219","0,0868887","6,12468","0,97821481","-0,15884281","0,13365907","0,314174",0,"0,949366","0,986564","439,382","18,719789","47,279611","74,4018","6,4881852","17,54914287","18,02470083","8,5703241","5,4890365","3,0812876","1,0675","0,3429506253","18,32096181","1,661674884","983,8693135","1,373928981","54,5348435","19,58359776","84,854003"
2015-10-02/13:28:36,"49,4371","5148,640659","4697,24","-627,501","2012,63","34,3002","253,94","1,08636","15,2995","13,5929","12,590257","6,7952387","-107,49798","8,5328124","9,0514805","-363,02227","11,092357","-19,574185","363,7187892","-336,47324","26,964803","-40,543372","-0,68551801","2,1205601","4,7214927","5,221034705","0,10961835","23,401963","0,16135691","5,61711","24,5742","5,23007","23,8298","38,0058","0,108494","4,149","0,99418861","-0,014282234","0,10670067","0,30363",0,"0,95279","0,979473","480,96","29,165205","52,377697","87,7164","6,0585522","12,45181058","12,47098346","4,3660579","2,8356144","1,5304435","1,147","0,5002188939","12,56087162","1,690033008","727,1192544","1,440251911","58,29029162","24,17117281","84,56210557"
2015-10-03/20:20:04,"50,0056","8857,752883","424,224","457,346","8835,76","69,7617","43,5378","1,08674","1,74314","2,84454","20,331591","40,117444","-285,30895","54,567171","134,63808","-401,19688","33,051526","-9,3001852","402,6634244","-390,74683","49,739436","94,809411","0,26871826","1,6728075","-1,407426","2,202576305","3,4605783","4,9768293","-4,4065553","2,75141","7,25094","2,62027","7,60017","11,9554","0,517814","0,98834","0,61842315","0,10900307","0,77824876","0,759694",0,"0,65028","0,99687","279,44","43,288829","74,848994","70,1804","2,9441861","5,815462878","9,301786019","6,1798837","2,0785587","4,101325","1,0915","0,2110252748","29,77456285","0,2359951672","1908,128895","3,148389813","172,6906056","87,25488544","92,54816685"
2015-10-04/15:23:17,"50,3573","5684,319632","4516,09","-672,486","3385,88","49,6737","234,97","1,08698","2,16562","4,31983","7,4515347","35,888604","-73,483248","-20,284759","53,12657","-312,59516","5,0684206","-15,907879","313,0407059","-259,2305","-2,491267","99,139363","0,87293424","2,9924874","0,42333049","3,14582322","2,2088497","8,8351917","-2,7506235","3,39539","9,4577","3,33855","9,96818","19,4763","0,796919","2,15771","0,96021464","-0,07314033","0,26951501","0,443653",0,"0,896199","0,984145","141,007","49,48384","53,980111","76,5178","4,1912587","6,159921444","6,326119919","3,3908313","0,58299069","2,8078406","1,1845","0,3013962366","20,84692688","0,1772027093","1038,635085","2,55482521","154,9329251","37,39363727","105,5769112"
2015-10-05/05:03:52,"50,6093","5552,366317","4523,11","-731,522","3136,1","46,3955","36,6595","1,08714","3,99007","5,64432","8,3938379","19,965933","-99,545667","-15,522558","26,217905","-381,59545","0,25103856","-30,710548","382,82932","-353,14582","-8,1070103","-56,222939","0,05141279","3,5428707","-0,19275646","3,548482933","1,797881","15,595978","-0,2662481","4,02405","15,8995","3,55159","16,2056","28,5538","0,0529257","3,06529","0,96993704","-0,13932513","0,19952604","0,423867",0,"0,905725","0,974272","235,219","38,781864","51,892332","82,1899","5,8208252","9,702630365","9,871349144","3,6123348","1,0691678","2,543167","1,1775","0,3399744127","18,48134763","0,4882894873","1126,053331","2,235057535","114,1417665","35,44945862","90,54028713"
