time,B
"17,492","0,57"
"17,4920086111111","0,54"
"17,4920172222222","0,5"
"17,4920261111111","0,46"
"17,4920347222222","0,51"
"17,4920433333333","0,48"
"17,4920519444444","0,44"
"17,4920608333333","0,51"
"17,4920694444444","0,43"
"17,4920780555556","0,36"
"17,4920866666667","0,48"
"17,4920955555556","0,45"
"17,4921041666667","0,31"
"17,4921127777778","0,23"
"17,4921213888889","0,35"
"17,4921302777778","0,37"
"17,4921388888889","0,35"
"17,4921475","0,35"
"17,4921561111111","0,26"
"17,492165","0,27"
"17,4921736111111","0,34"
"17,4921822222222","0,19"
"17,4921908333333","0,19"
"17,4921997222222","0,11"
"17,4922083333333","0,13"
"17,4922169444444","0,09"
"17,4922255555556","0,08"
"17,4922344444444","-0,02"
"17,4922430555556","-0,03"
"17,4922516666667","-0,01"
"17,4922602777778","-0,1"
"17,4922691666667","-0,08"
"17,4922777777778","0,01"
"17,4922863888889","-0,08"
"17,492295","0,03"
"17,4923038888889","0,01"
"17,4923125","-0,09"
"17,4923211111111","-0,04"
"17,4923297222222","-0,06"
"17,4923386111111","-0,05"
"17,4923472222222","-0,1"
"17,4923558333333","-0,05"
"17,4923644444444","-0,18"
"17,4923733333333","-0,2"
"17,4923819444444","-0,08"
"17,4923905555556","-0,16"
"17,4923991666667","-0,06"
"17,4924080555556","-0,16"
"17,4924166666667","-0,15"
"17,4924252777778","-0,1"
"17,4924338888889","-0,08"
"17,4924427777778","-0,17"
"17,4924513888889","-0,11"
"17,49246","-0,08"
"17,4924686111111","-0,18"
"17,4924775","-0,08"
"17,4924861111111","-0,19"
"17,4924947222222","-0,21"
"17,4925033333333","-0,15"
"17,4925122222222","-0,12"
"17,4925208333333","-0,12"
"17,4925294444444","-0,14"
"17,4925380555556","-0,13"
"17,4925469444444","-0,09"
"17,4925555555556","-0,14"
"17,4925641666667","-0,18"
"17,4925727777778","-0,24"
"17,4925816666667","-0,17"
"17,4925902777778","-0,12"
"17,4925988888889","-0,13"
"17,4926075","-0,05"
"17,4926163888889","0,04"
"17,492625","-0,08"
"17,4926336111111","0,04"
"17,4926422222222","-0,09"
"17,4926511111111","-0,01"
"17,4926597222222","-0,01"
"17,4926683333333","-0,12"
"17,4926769444444","-0,08"
"17,4926858333333","-0,07"
"17,4926944444444","-0,08"
"17,4927030555556","-0,09"
"17,4927116666667","-0,14"
"17,4927205555556","-0,08"
"17,4927291666667","-0,12"
"17,4927377777778","-0,08"
"17,4927463888889","-0,02"
"17,4927552777778",0
"17,4927638888889","0,04"
"17,4927725","0,01"
"17,4927811111111","0,08"
"17,49279","0,02"
"17,4927986111111","0,1"
"17,4928072222222","-0,04"
"17,4928158333333","-0,1"
"17,4928247222222","-0,2"
"17,4928333333333","-0,24"
"17,4928419444444","-0,19"
"17,4928505555556","-0,12"
"17,4928594444444","-0,05"
"17,4928680555556","-0,02"
"17,4928766666667","0,02"
"17,4928852777778","0,09"
"17,4928941666667","0,03"
"17,4929027777778","0,03"
"17,4929113888889","0,05"
"17,49292",0
"17,4929288888889","-0,01"
"17,4929375","-0,01"
"17,4929461111111","0,06"
"17,4929547222222","-0,11"
"17,4929636111111","-0,12"
"17,4929722222222","-0,02"
"17,4929808333333","-0,08"
"17,4929894444444",0
"17,4929983333333","-0,11"
"17,4930069444444","-0,05"
"17,4930155555556","0,01"
"17,4930241666667","-0,11"
"17,4930330555556","-0,04"
"17,4930416666667","0,02"
"17,4930502777778","0,07"
"17,4930588888889","0,09"
"17,4930677777778","0,05"
"17,4930763888889","0,01"
"17,493085","0,1"
"17,4930936111111","0,02"
"17,4931025","0,05"
"17,4931111111111","0,05"
"17,4931197222222",0
"17,4931283333333","-0,07"
"17,4931372222222","-0,19"
"17,4931458333333","-0,16"
"17,4931544444444","-0,35"
"17,4931630555556","-0,34"
"17,4931719444444","-0,31"
"17,4931805555556","-0,28"
"17,4931891666667","-0,28"
"17,4931977777778","-0,14"
"17,4932066666667","-0,02"
"17,4932152777778","-0,05"
"17,4932238888889","0,03"
"17,4932325","-0,01"
"17,4932413888889","-0,06"
"17,49325","-0,15"
"17,4932586111111","-0,16"
"17,4932672222222","-0,26"
"17,4932761111111","-0,35"
"17,4932847222222","-0,3"
"17,4932933333333","-0,26"
"17,4933019444444","-0,34"
"17,4933108333333","-0,36"
"17,4933194444444","-0,28"
"17,4933280555556","-0,22"
"17,4933366666667","-0,16"
"17,4933455555556","-0,15"
"17,4933541666667","-0,08"
"17,4933627777778","-0,03"
"17,4933713888889","-0,07"
"17,4933802777778","-0,02"
"17,4933888888889","-0,03"
"17,4933975","-0,01"
"17,4934061111111","-0,06"
"17,493415","-0,07"
"17,4934236111111","-0,12"
"17,4934322222222","-0,1"
"17,4934408333333","-0,15"
"17,4934497222222","-0,16"
"17,4934583333333","-0,26"
"17,4934669444444","-0,24"
"17,4934755555556","-0,24"
"17,4934844444444","-0,25"
"17,4934930555556","-0,24"
"17,4935016666667","-0,12"
"17,4935102777778","-0,14"
"17,4935191666667","-0,09"
"17,4935277777778","-0,23"
"17,4935363888889","-0,22"
"17,493545","-0,29"
"17,4935538888889","-0,3"
"17,4935625","-0,23"
"17,4935711111111","-0,23"
"17,4935797222222","-0,27"
"17,4935886111111","-0,2"
"17,4935972222222","-0,28"
"17,4936058333333","-0,16"
"17,4936144444444","-0,12"
