TIME,Ls [deg],R [km],XMSO [km],YMSO [km],ZMSO [km],GEO_lat [deg],GEO_lon [deg],Sol distance/mean distance,n_i [cm^-3],n_e [cm^-3],T_p [eV],T_e [eV],Vdown_x [km/s],Vdown_y [km/s],Vdown_z [km/s],Vupfine_x [km/s],Vupfine_y [km/s],Vupfine_z [km/s],|Vupfine| [km/s],Vupcoarse_x [km/s],Vupcoarse_y [km/s],Vupcoarse_z [km/s],Bup_x [nT],Bup_y [nT],Bup_z [nT],|Bup| [nT],Bdown_x [nT],Bdown_y [nT],Bdown_z [nT],Bu_fit [nT],Bd_fit [nT],Bu_measure [nT],Bd_measure [nT],Bmax [nT],Bu_stddev [nT],Bd_stddev [nT],N_AVG_x,N_AVG_y,N_AVG_z,nconic_rho,n_conic_phi,n_conic_x,$\hat{n}_{conic}\cdot\hat{n}_{AVG}$,|POS_{shock}-POS_{conic}| [km],V_A [km/s],C_S [km/s],thetaBN [deg],Mfms,Malfven_local,Malfven_global,beta,beta_p,beta_e,Mcrit,Wci [rad/s],tau_ci [s],Pdyn [nPa],rci [km],c/Wpe [km],c/Wpi [km],SZA [º]
2015-01-08/10:12:32,268.181,6687.377428,4553.5,-4858.09,620.98,-13.3774,219.563,0.910386,3.78304,4.15456,9.5195885,13.050361,-168.25357,-86.832628,31.403215,-361.78204,12.459345,27.652323,363.0511406,-335.26743,15.702962,53.158458,-1.2723972,1.4265251,-2.2272928,2.935098246,3.3256288,-2.7948309,-10.266611,3.11912,11.0995,3.07153,12.7998,23.8444,0.218172,3.75865,0.70882606,-0.37075647,0.6000877,0.539583,0.0,0.841932,0.836278,606.706,34.445367,51.563841,19.4633,4.5655005,7.097212866,10.53991211,3.6442789,1.5370896,2.1071892,1.026,0.2812070176,22.34362912,0.416354267,1291.045806,2.605145616,117.223418,47.08523068
2015-01-12/14:49:09,270.819,6524.954943,3648.46,-5308.82,1039.33,-6.21871,184.122,0.911589,5.81979,5.94774,8.8367271,14.20599,-160.88478,-80.250384,29.019144,-309.77127,8.713632,4.0388555,309.9201179,-292.78495,10.606709,18.209841,-0.21867222,2.9247968,-1.0977867,3.131675191,1.3511863,-3.0124652,-12.255483,3.35076,10.9443,3.29365,13.0516,16.7731,0.209019,2.26758,0.49424092,-0.73668359,0.46154437,0.59636,0.0,0.802717,0.880762,153.522,29.779693,52.374128,27.832,2.8809894,5.294101459,10.4070958,4.9777824,1.908946,3.0688363,1.0325,0.3000407368,20.94110744,0.4667596726,1032.926799,2.177301307,94.51074575,56.00263203
2015-01-18/12:40:18,274.526,6214.843339,2142.21,-5587.48,1677.88,0.0398087,264.368,0.913548,16.1223,18.7315,9.8114214,12.481618,-199.31064,-59.971984,63.343642,-377.98164,15.699136,28.578388,379.3854337,-343.14364,41.186145,55.792209,4.8877277,-3.1396756,3.1035631,6.586315272,-10.460001,-13.18745,2.8746276,7.02823,16.8359,6.93679,17.4864,28.8004,0.407143,2.65118,0.48497226,-0.75099345,0.44811912,0.655851,0.0,0.754891,0.922357,543.292,37.68265,50.952619,21.7119,3.3676069,4.837611909,10.06790748,3.0076626,1.3237067,1.6839559,1.041,0.6310242176,9.957122297,1.937647527,601.2216696,1.226897391,56.7833941,69.83697294
2015-02-01/13:51:31,283.27,7060.23773,3987.61,2113.27,-5429.55,-63.9838,150.544,0.919385,2.70462,3.40996,28.456467,20.7112,-222.32838,129.92215,-139.31958,-491.97176,43.486919,12.434743,494.0465035,-460.30315,44.695511,7.0868116,-3.3003646,2.3703055,3.2065886,5.176192143,-1.5459145,14.822481,6.1594959,5.42403,14.8857,5.36324,16.2958,24.7634,0.320145,2.2417,0.83044115,0.015058795,-0.5569028,0.603364,0.0,0.797466,0.978677,674.855,71.132961,78.219559,29.82,4.5244559,5.831666093,6.945394885,1.8615746,1.077412,0.78416259,1.14,0.4959226006,12.66968938,0.5512243458,996.2169558,2.875543083,138.6378196,55.61171656
2014-11-28/08:37:23,242.156,4952.057953,4774.88,256.554,1287.47,-10.0063,255.087,0.907226,5.30791,10.3268,16.712156,29.826993,-128.79791,75.926905,123.72667,-446.96459,25.946283,7.0501798,447.7725531,-418.66384,-9.6592656,12.972539,4.2337114,0.0085218514,2.5857033,4.960871536,-0.5105823,-16.861829,9.4149338,4.95542,21.2547,5.06001,19.8192,31.6124,0.266645,4.05078,0.87691287,-0.053233066,0.47769243,0.198956,0.0,0.980008,0.95052,606.873,47.905552,64.325491,4.23701,6.0421317,8.140233601,9.346986611,3.8849854,1.3950939,2.4898915,1.001,0.4752930813,13.21960187,0.8886381719,942.0977725,1.6523865,98.96305004,15.372803
2014-11-29/03:04:27,242.643,5391.484892,5326.4,607.116,573.57,-19.4449,347.642,0.907138,7.42297,13.2022,33.139523,27.449015,-130.39039,83.137251,100.77706,-519.44441,60.830331,-3.5404716,523.0060795,-500.26846,26.509028,-3.7262898,6.1541259,-4.9576313,0.86127532,7.949413115,5.6091854,-21.773507,-17.728493,8.36894,31.2255,8.01944,29.0116,47.2581,0.341277,3.44996,0.97705467,-0.17141482,0.12641651,0.119853,0.0,0.992792,0.965483,138.388,64.202421,82.28564,28.7178,5.6868825,8.074467798,8.146204946,2.8159848,1.5402318,1.275753,1.072,0.7616204182,8.249759535,1.695421379,686.7017572,1.461407619,83.68468666,8.911717103
2014-11-29/07:36:30,242.763,5119.133699,5001.31,299.67,1050.06,-11.412,279.056,0.907118,6.26127,9.45585,33.297009,17.361244,-181.13999,110.49359,147.21447,-533.39122,93.095635,-2.7180112,541.461336,-503.2169,92.541242,-5.7368905,3.3180404,-1.5547342,4.8440031,6.073792601,-2.5005526,-23.147527,4.1573059,6.10842,23.6711,6.0869,24.4258,40.6449,0.08916,5.76668,0.81285651,-0.23597516,0.53252232,0.162284,0.0,0.986744,0.874674,424.041,53.059234,80.117469,21.6962,5.4589635,8.612755031,10.20484646,3.4472352,2.2658227,1.1814125,1.034,0.5819202492,10.79733059,1.532794059,930.4734399,1.726808723,91.11788512,12.31663998
2014-11-30/06:38:37,243.372,5536.981006,5492.95,582.488,382.579,-20.2017,304.256,0.907018,3.36094,5.64186,11.020008,16.662954,-79.72067,31.862256,23.591735,-415.84861,19.697884,-9.7548201,416.4291411,-389.55022,-1.2409689,-7.1691446,-2.7917551,0.56849693,-2.5794019,3.84322774,1.1542006,0.84610713,-13.489935,3.93174,14.3432,3.91406,14.8921,25.2146,0.252514,4.63847,0.94034328,0.0043395065,0.34019949,0.0981271,0.0,0.995174,0.954487,12.0935,46.568676,52.066589,24.3896,6.6863562,8.466496914,8.94225855,2.4454987,0.97350188,1.4719968,1.0685,0.3682134361,17.06397619,0.486664269,1130.944991,2.235544754,124.3668021,7.230505118
2014-12-05/10:27:23,246.644,5047.076551,4791.28,-625.486,1457.87,-8.80778,286.909,0.906633,3.90349,4.25235,28.921825,18.994219,-104.10909,48.550096,3.2791404,-496.21344,18.335941,-38.802316,498.0658636,-462.77387,29.5361,-55.576708,-4.4125988,2.4959495,-2.0698936,5.47587907,2.7839777,18.334983,-1.2075577,5.45801,20.5136,5.56084,19.7764,30.7614,0.32499,3.77831,0.88864139,-0.41444975,0.19633616,0.235484,0.0,0.971878,0.94462,531.393,61.391767,79.304938,11.7024,5.6023444,7.430530953,8.112909726,2.4355854,1.4701042,0.96548126,1.019,0.5246351205,11.97629564,0.8085615791,949.3566941,2.57501652,115.400665,18.31962414
2014-12-05/15:11:36,246.769,5761.769589,5754.0,-29.879,297.624,-22.3141,221.778,0.906623,4.02707,4.60315,29.162596,16.126562,-157.52324,12.902685,-8.8709559,-552.08706,39.056563,3.4727087,553.4777291,-499.69441,68.610282,-16.569767,4.9782525,-1.3373214,-3.9637048,6.502490463,3.2257228,14.840757,-15.15397,6.59282,21.7077,6.63503,21.8383,31.0504,0.277621,3.409,0.98009492,-0.02961395,-0.19630833,0.040927,0.0,0.999162,0.971401,244.909,72.118161,77.516986,28.8238,5.948656,7.528423578,7.674595711,1.6681981,1.0741862,0.59401193,1.1585,0.6229930983,10.0854814,1.030091859,888.417112,2.474953009,113.6161994,2.975825991
