TIME,Ls [deg],R [km],XMSO [km],YMSO [km],ZMSO [km],GEO_lat [deg],GEO_lon [deg],Sol distance/mean distance,n_i [cm^-3],n_e [cm^-3],T_p [eV],T_e [eV],Vdown_x [km/s],Vdown_y [km/s],Vdown_z [km/s],Vupfine_x [km/s],Vupfine_y [km/s],Vupfine_z [km/s],|Vupfine| [km/s],Vupcoarse_x [km/s],Vupcoarse_y [km/s],Vupcoarse_z [km/s],Bup_x [nT],Bup_y [nT],Bup_z [nT],|Bup| [nT],Bdown_x [nT],Bdown_y [nT],Bdown_z [nT],Bu_fit [nT],Bd_fit [nT],Bu_measure [nT],Bd_measure [nT],Bmax [nT],Bu_stddev [nT],Bd_stddev [nT],N_AVG_x,N_AVG_y,N_AVG_z,nconic_rho,n_conic_phi,n_conic_x,$\hat{n}_{conic}\cdot\hat{n}_{AVG}$,|POS_{shock}-POS_{conic}| [km],V_A [km/s],C_S [km/s],thetaBN [deg],Mfms,Malfven_local,Malfven_global,beta,beta_p,beta_e,Mcrit,Wci [rad/s],tau_ci [s],Pdyn [nPa],rci [km],c/Wpe [km],c/Wpi [km],SZA [º]
2019-06-11/09:11:38,37.7721,5335.825692,4081.27,-1275.29,-3191.85,-19.2691,359.081,1.0764,5.31527,6.23636,9.2621021,11.251775,-160.15183,-10.640489,-74.730824,-354.4005,35.80658,8.2718734,356.3007851,-326.78935,72.863069,18.871609,3.6411756,-3.6592036,-1.4989954,5.375399329,-5.0522684,-14.134979,-2.9775347,5.52269,15.6335,5.4192,15.6026,29.1521,0.180129,3.34257,0.7320657,-0.55096684,-0.40064366,0.425006,0.0,0.90519,0.907662,273.195,51.27063,48.969038,10.6824,5.1636827,5.509718956,6.949413048,1.4950409,0.67501728,0.82002364,1.0495,0.5150083189,12.20016275,0.5634370018,691.8350092,2.126321509,98.89450974,40.10362178
2019-06-12/10:41:15,38.2517,5010.454648,3206.66,-1724.55,-3442.08,-30.2675,341.784,1.07688,2.52303,2.73354,18.338181,12.335188,-190.32697,-106.51958,-53.12441,-431.62412,27.611737,12.837743,432.6968877,-392.33097,54.179915,22.577895,0.67735544,-1.5912086,-0.51344666,1.803990763,-4.3713591,-5.1032225,-4.0889159,1.80228,7.13312,1.84025,8.64619,20.5488,0.169892,3.01348,0.68612389,-0.64625307,-0.33405235,0.509384,0.0,0.860539,0.89003,905.259,25.270442,63.398567,22.6719,4.9534276,12.59496246,17.12264818,9.2019196,5.5013998,3.7005198,1.011,0.1728374384,36.35314991,0.3944358973,2503.490515,3.211676577,143.5402306,50.20864148
2019-06-12/18:02:51,38.3895,5095.167037,3396.52,-1690.92,-3400.76,-25.6274,235.553,1.07702,1.34367,1.61825,13.58012,16.37899,-172.83766,-7.0930409,-69.472163,-433.20844,36.886898,11.244554,434.9214133,-380.18999,77.029871,22.497039,2.6785938,-0.89930379,0.42655064,2.857543963,0.20031592,-6.3836216,2.3173584,3.0663,8.70574,2.92276,8.52308,16.0235,0.202642,1.9333,0.90395099,-0.42495742,-0.047788992,0.478204,0.0,0.878249,0.904833,606.017,54.997513,58.921466,13.1071,6.4349486,7.415097572,7.908019646,1.897516,0.8601222,1.0373938,1.038,0.2737766671,22.95003944,0.2122270208,1588.599269,4.174185194,196.6928335,48.19357778
2019-06-15/08:13:04,39.5567,5298.801586,3659.89,-1880.12,-3338.81,-24.8981,44.3478,1.07817,2.17555,2.58331,11.766825,8.6071179,-86.229137,-3.2153743,-80.943551,-376.88973,22.64679,-25.541085,378.432415,-306.04432,-1.0610387,-110.26038,1.6166108,-1.8632978,-0.2189315,2.476537941,-1.3805267,-9.3472688,2.4452402,2.61769,10.156,2.54147,10.9856,18.7985,0.185346,3.4804,0.9075548,-0.40410653,-0.11420245,0.492217,0.0,0.870473,0.936579,569.51,37.583512,50.730792,24.9655,6.3743231,9.266907914,10.0691073,2.7632679,1.5959056,1.1673623,1.059,0.2372730961,26.48081645,0.2601550154,1594.923408,3.30374302,154.5789356,46.31433869
2019-06-16/17:13:08,40.1747,5654.17562,4369.09,-1810.27,-3098.98,-17.9864,282.914,1.07876,2.03647,2.04592,6.2942324,8.9758684,-132.67137,-36.993763,-66.19279,-367.75753,-1.339871,-10.913485,367.9218671,-323.43351,-5.3622947,-40.324315,1.6602799,-1.7152477,-0.35764142,2.413816771,-1.2003063,-8.4280645,-0.52513694,2.72125,8.98705,2.42234,8.76048,15.753,0.0760567,1.54884,0.89811402,-0.37707425,-0.22628791,0.437192,0.0,0.899368,0.976311,34.8636,37.024749,43.141724,23.1878,6.8382597,8.840394113,9.937187342,2.134029,0.87963235,1.2543967,1.078,0.2312638823,27.16890007,0.2301842971,1590.917974,3.712360962,159.770222,39.40129843
2019-06-17/07:42:15,40.4455,5043.379354,2801.2,-2273.49,-3524.23,-32.5639,65.9311,1.07902,5.91492,6.07253,11.434517,8.5586827,-198.14585,-15.330964,-96.835359,-375.64322,12.331871,-24.96301,376.6736726,-331.7542,24.507715,-42.969043,4.1523749,0.25346455,-1.2280359,4.337572335,7.0034115,-4.3178628,9.4015996,4.19116,12.8797,4.34768,12.64,21.5053,0.0571651,1.64318,0.97085298,0.10815364,-0.21388613,0.537098,0.0,0.84352,0.883978,891.063,38.992329,51.232745,4.94637,6.9534638,9.1818409,9.660199385,2.5192228,1.4407947,1.0784281,1.0035,0.4155757926,15.11922836,0.7007544811,906.3898316,2.154813494,93.74765421,56.26026656
2019-06-17/15:05:45,40.5843,5484.426042,3878.18,-2074.32,-3276.56,-24.7948,320.283,1.07915,3.28111,3.63569,10.653765,12.669192,-157.90841,-0.34366285,-58.930149,-401.40069,31.626896,3.6724415,402.6614723,-364.57586,73.582368,9.6008922,3.374417,-3.4609862,-1.3842504,5.028047806,-5.6120014,-11.977436,-4.9523521,5.32649,15.0715,5.07155,14.2374,22.2381,0.187496,1.24546,0.7106091,-0.58784124,-0.38662306,0.488897,0.0,0.872342,0.933325,382.408,61.069763,52.885373,8.89444,4.8590799,4.998388931,6.593467087,1.1980468,0.54725944,0.65078732,1.082,0.4817291311,13.04298391,0.4442090685,835.8669766,2.78484545,125.8706433,44.99844639
2019-06-18/05:45:56,40.8585,5613.657512,4125.93,-2075.39,-3191.02,-19.9625,106.598,1.07941,3.46378,3.78701,22.338066,15.572525,-171.69144,6.7145784,-76.49926,-427.10576,26.991912,25.279297,428.7037863,-389.19336,43.811831,36.529208,4.4370095,-3.7123646,-0.97256823,5.866395247,-7.9052866,-16.61286,0.66354781,6.34146,17.9482,6.04592,18.5825,23.2574,0.439146,1.28923,0.67139313,-0.67977883,-0.2951813,0.463505,0.0,0.886094,0.881399,126.784,70.857033,70.228123,9.27805,4.1113403,4.4112259,6.050264429,1.4465628,0.85235849,0.59420427,1.0445,0.562049844,11.17905356,0.5315589246,762.7504765,2.728640338,122.5066593,42.6944136
2019-06-19/14:35:50,41.4727,5491.868371,3686.54,-2341.98,-3329.44,-28.3734,342.844,1.07998,2.29589,2.10387,12.954843,6.8426042,-172.3637,-51.449161,-68.493751,-441.68613,28.573037,10.623457,442.7368448,-389.10055,41.667128,3.2553261,1.7140678,-1.3676752,1.0831491,2.445766924,-3.299664,-7.4565087,-0.54745779,2.36096,8.70318,2.44944,8.53189,18.0294,0.0488273,2.18844,0.77114588,-0.6366289,0.0061380635,0.522599,0.0,0.852579,0.846254,567.171,35.260418,52.766222,25.9516,6.4071567,10.17372094,12.55619955,3.0505415,1.9961809,1.0543606,1.0545,0.2343249748,26.81398051,0.3757758651,1889.413816,3.660876437,150.4732526,47.83464988
2019-06-19/18:14:29,41.5407,5446.512693,3558.95,-2383.02,-3364.46,-27.9071,289.34,1.08004,2.1093,2.00535,13.608652,6.9676753,-141.64744,-41.031146,-55.757408,-445.65762,17.160062,2.9745489,445.9977914,-404.48442,38.785707,3.755115,1.1101503,-1.3737196,-0.83552172,1.953877113,-2.1891795,-8.2868754,1.4486844,1.9573,8.57347,1.97289,9.57273,19.2818,0.0742703,2.36036,0.85880508,-0.4740493,-0.19424493,0.531049,0.0,0.847341,0.957385,648.078,29.629858,53.623088,25.2696,7.0488283,13.21118496,15.05230944,4.4900521,2.9696046,1.5204475,1.031,0.1871978072,33.56441723,0.3503404184,2382.494742,3.7497251,156.9877159,49.1987995
