#        dia          SZA          altitud        Z_MSO
       271          0          1          1
       256          0          1          1
       253          0          1          1
       267          0          1          1
       270          0          1          1
       244          0          0          1
       262          0          1          1
       251          0          1          1
       250          0          1          1
       257          0          1          1
       273          0          1          1
       261          0          1          1
