2017-08-01	19:06:27	81.1	0.309
2017-08-01	23:50:38	78.9	0.286
2017-08-02	7:42:23	70.5	0.237
2017-08-02	8:37:17	77.6	0.237
2017-08-02	17:43:09	77.9	0.209
2017-08-02	20:37:34	25.4	0.261
2017-08-02	22:40:24	78.7	0.261
2017-08-03	3:26:27	81.1	0.286
2017-08-03	12:35:53	84.0	0.221
2017-08-03	16:50:18	84.3	0.198
2017-08-04	1:57:56	81.6	0.168
2017-08-04	4:16:37	74.9	0.201
2017-08-05	5:12:48	77.5	0.218
2017-08-05	7:35:35	75.8	0.182
2017-08-05	9:59:15	78.4	0.182
2017-08-06	10:28:37	72.8	0.262
2017-08-07	2:24:17	84.1	0.644
2017-08-07	11:37:56	81.2	3.469
2017-08-07	14:01:40	86.4	2.226
2017-08-07	18:42:02	26.6	1.01
2017-08-08	12:46:37	77.8	0.475
2017-08-09	11:26:15	86.8	0.149
2017-08-09	12:57:44	71.7	0.149
2017-08-09	17:27:39	76.6	0.144
2017-08-10	0:58:40	78.1	0.162
2017-08-10	5:21:02	81.9	0.193
2017-08-10	11:51:01	73.8	0.297
2017-08-10	19:01:12	88.2	0.15
2017-08-10	20:27:57	88.7	0.15
2017-08-10	23:34:54	83.3	0.173
2017-08-11	8:20:39	83.9	0.333
2017-08-11	10:34:34	81.3	0.333
2017-08-11	15:18:41	78.4	0.369
2017-08-12	7:08:06	24.9	0.319
2017-08-12	13:51:32	87.1	0.491
2017-08-12	16:04:15	25.3	0.338
2017-08-13	12:02:40	83.6	0.287
2017-08-13	17:03:38	84.8	0.647
2017-08-13	19:05:46	80.4	0.552
2017-08-13	21:27:51	75.5	0.552
2017-08-14	1:51:18	71.9	0.593
2017-08-14	4:07:58	86.7	0.408
2017-08-14	20:15:43	81.3	0.775
2017-08-15	4:30:23	81.6	1.715
2017-08-15	9:13:22	19.0	0.563
2017-08-15	18:06:02	71.6	0.882
2017-08-16	21:27:11	78.3	0.62
2017-08-17	15:15:26	76.2	0.352
2017-08-17	22:36:36	23.3	0.342
2017-08-18	4:50:36	80.4	0.384
2017-08-18	13:31:09	72.2	0.231
2017-08-19	1:55:11	82.4	0.226
2017-08-19	2:36:55	84.2	0.226
2017-08-19	20:59:09	79.4	0.215
2017-08-20	1:09:57	75.3	0.233
2017-08-20	23:24:50	83.4	0.874
2017-08-21	13:13:16	76.5	0.457
2017-08-21	21:55:54	77.3	0.244
2017-08-22	6:24:20	86.8	0.245
2017-08-23	20:47:56	82.9	0.232
2017-08-23	22:26:31	86.6	0.232
2017-08-24	11:37:41	85.5	0.219
2017-08-25	1:08:52	73.4	0.183
2017-08-25	13:38:10	79.2	0.144
2017-08-25	23:10:13	82.6	0.14
2017-08-27	6:21:48	80.2	0.29
2017-08-28	3:40:19	21.9	0.921
2017-08-28	11:54:56	21.9	1.068
2017-08-29	10:35:29	82.3	0.233
2017-08-30	1:02:12	83.8	0.276
2017-08-30	12:31:29	85.7	0.247
2017-08-31	2:09:35	79.4	0.232
2017-08-31	3:47:09	80.9	0.232
2017-12-03	19:40:58	78.3	0.584
2017-12-04	21:14:57	77.8	0.588
2017-12-05	23:17:39	86.1	0.223
2017-12-06	3:38:05	72.9	0.191
2017-12-06	4:28:39	81.8	0.191
2017-12-06	8:04:26	84.8	0.18
2017-12-07	6:47:35	74.9	0.166
2017-12-08	0:13:17	80.1	0.116
2017-12-08	8:01:36	75.1	0.155
2017-12-08	8:47:38	85.1	0.155
2017-12-08	12:18:16	72.0	0.149
2017-12-08	13:21:38	84.9	0.149
2017-12-09	1:24:54	78.4	0.607
2017-12-09	2:34:46	84.9	0.607
2017-12-09	5:41:12	85.9	0.843
2017-12-09	11:21:14	85.3	0.582
2017-12-09	14:26:48	79.9	0.545
2017-12-09	15:37:57	78.1	0.545
2017-12-09	20:03:44	85.7	0.829
2017-12-10	4:42:01	76.8	0.908
2017-12-10	8:05:36	72.6	0.786
2017-12-10	8:45:11	83.1	0.786
2017-12-10	13:15:47	79.9	0.841
2017-12-10	16:52:55	85.3	0.72
2017-12-10	17:18:35	74.8	0.72
2017-12-11	1:29:46	79.3	1.576
2017-12-11	19:57:54	86.1	0.5
2017-12-11	23:06:41	26.7	0.566
2017-12-12	22:15:34	78.7	0.387
2017-12-13	5:42:33	20.8	0.273
2017-12-13	15:42:59	83.0	0.333
2017-12-14	3:49:13	71.9	0.303
2017-12-14	5:18:55	74.4	0.303
2017-12-14	9:46:37	80.3	0.295
2017-12-14	14:19:47	81.5	0.349
2017-12-14	17:20:38	81.1	0.234
2017-12-14	22:00:44	77.6	0.177
2017-12-14	22:54:01	85.0	0.177
2017-12-15	6:41:01	86.4	0.304
2017-12-15	12:41:33	23.1	0.737
2017-12-15	15:36:52	76.5	0.769
2017-12-16	0:37:02	76.1	1.232
2017-12-16	5:23:35	77.1	0.504
2017-12-16	6:28:09	83.4	0.504
2017-12-16	10:26:31	70.9	0.73
2017-12-16	18:47:37	73.9	0.534
2017-12-16	20:06:07	74.5	0.534
2017-12-17	0:29:42	85.4	0.655
2017-12-17	3:40:14	85.3	0.635
2017-12-17	8:10:05	79.9	0.664
2017-12-17	9:45:52	82.8	0.664
2017-12-17	12:46:56	79.6	0.547
2017-12-17	14:03:56	78.4	0.547
2017-12-18	7:53:57	76.4	0.24
2017-12-18	11:02:44	80.3	0.169
2017-12-18	13:02:47	85.6	0.169
2017-12-18	17:32:48	77.4	0.152
2017-12-18	20:02:52	84.9	0.195
2017-12-18	21:52:59	78.3	0.195
2017-12-19	0:30:11	73.3	0.184
2017-12-19	2:11:18	82.6	0.184
2017-12-19	6:52:45	81.5	0.21
2017-12-19	18:25:28	75.1	0.163
2017-12-19	22:56:50	72.9	0.532
2017-12-20	9:43:05	24.3	0.622
2017-12-20	22:48:21	79.8	0.213
2017-12-21	3:38:00	75.3	0.215
2017-12-21	6:20:25	80.2	0.177
2017-12-21	12:23:07	75.5	0.148
2017-12-23	3:20:20	84.5	0.343
2017-12-23	5:06:13	81.1	0.343
2017-12-23	16:45:17	75.8	0.221
2017-12-24	6:06:46	84.2	0.351
2017-12-24	10:36:40	80.0	0.492
2017-12-24	12:45:45	75.8	0.492
2017-12-24	17:09:38	81.5	0.395
2017-12-24	19:33:40	74.9	0.352
2017-12-24	21:34:23	83.7	0.352
2017-12-25	6:28:43	75.9	0.623
2017-12-25	9:03:24	71.6	0.546
2017-12-25	19:45:43	85.4	0.442
2017-12-26	4:37:32	72.0	0.5
2017-12-26	7:23:17	19.4	0.419
2017-12-26	9:16:43	86.5	0.419
2017-12-26	14:01:54	85.7	0.33
2017-12-26	18:40:20	76.1	0.449
2017-12-27	3:32:13	80.1	0.703
2017-12-27	8:13:02	81.7	0.941
2017-12-27	14:59:34	82.3	0.993
2017-12-28	0:07:20	88.5	0.52
2017-12-28	1:51:03	74.5	0.52
2017-12-28	4:33:48	83.8	0.86
2017-12-28	8:56:33	75.6	1.471
2017-12-28	17:57:33	76.4	0.966
2017-12-29	2:55:54	77.8	0.293
2017-12-29	9:23:06	79.3	0.276
2017-12-29	20:53:47	80.4	0.192
2017-12-29	22:53:41	77.5	0.192
2017-12-30	5:55:44	79.5	0.224
2017-12-30	16:42:12	76.2	0.181
2017-12-30	19:19:27	86.9	0.169
2017-12-30	21:20:45	85.3	0.169
2017-12-31	10:42:57	85.6	0.15
2017-12-31	15:15:51	77.8	0.139
2017-12-31	22:11:16	79.1	0.197
2019-06-01	0:33:22	71.0	0.276
2019-06-01	5:58:25	84.1	0.294
2019-06-01	9:32:35	71.8	0.253
2019-06-01	13:10:46	80.9	0.261
2019-06-01	16:45:34	85.2	0.303
2019-06-01	20:35:43	72.1	0.38
2019-06-02	3:49:21	77.8	0.603
2019-06-02	11:11:42	81.9	0.473
2019-06-02	16:59:06	87.7	0.275
2019-06-02	18:17:55	76.9	0.275
2019-06-02	22:06:46	71.7	0.364
2019-06-03	0:11:33	77.9	0.355
2019-06-03	1:42:44	73.8	0.355
2019-06-03	3:50:51	75.4	0.487
2019-06-03	5:19:46	72.1	0.487
2019-06-03	8:56:57	29.4	0.418
2019-06-03	11:08:10	77.4	0.388
2019-06-03	14:48:48	79.2	0.587
2019-06-03	22:03:12	74.5	0.411
2019-06-04	1:40:58	84.1	0.278
2019-06-04	5:18:24	80.4	0.232
2019-06-04	8:59:07	80.5	0.213
2019-06-04	14:31:36	70.4	0.221
2019-06-04	18:05:21	81.0	0.195
2019-06-04	21:49:30	76.7	0.214
2019-06-05	5:06:01	83.2	0.252
2019-06-05	8:43:05	78.2	0.497
2019-06-05	10:38:28	81.9	0.578
2019-06-05	12:29:25	86.2	0.578
2019-06-05	14:11:15	70.8	1.068
2019-06-05	16:11:42	75.8	1.068
2019-06-05	18:01:32	85.2	0.894
2019-06-05	19:49:27	81.1	0.894
2019-06-05	23:14:55	84.9	0.303
2019-06-06	10:12:26	84.3	0.256
2019-06-06	13:52:33	81.5	0.274
